0,1,2,3,4,5,6,7,8
85.2,1.702220069,0.056595844,-0.463096716,0.500953007,-0.815476638,-0.779596394,-0.999019414,-1.066667562
88.5,1.702220069,0.056595844,1.469511626,-0.996664354,-0.815476638,-1.218243841,-1.567118776,-1.985442517
98.4,1.702220069,0.056595844,0.849618384,0.500953007,-0.138214846,-0.682773747,-0.273291818,-0.679211612
80.9,1.702220069,-0.528878407,1.505975934,0.500953007,2.992340922,1.302381038,0.650430548,1.351281169
81.1,1.702220069,-0.528878407,1.943547634,0.875357347,5.511709219,-0.682773747,-0.273291818,-0.679211612
82.4,1.702220069,-0.528878407,0.886082693,0.500953007,0.075387485,0.949612912,1.095337407,0.868455047
82.4,1.702220069,-0.528878407,2.709298109,0.875357347,0.377441525,0.390965225,0.716052194,1.236077934
83.4,1.702220069,-0.528878407,4.058477518,0.500953007,-0.750378785,-0.306381799,-0.371973021,-0.156171723
83.4,1.702220069,-0.528878407,-0.463096716,-0.996664354,0.32601422,0.071189509,-0.297971896,-0.531197601
83.6,1.702220069,-0.528878407,1.141332851,1.624166028,0.268328645,3.12078674,2.590966535,1.740358387
84.1,1.702220069,-0.528878407,-0.061989324,0.875357347,-0.146189333,0.420657397,0.779527804,0.7362705
84.3,1.702220069,-0.528878407,-0.608953949,0.500953007,-0.186631375,0.972839618,1.471087326,1.510711952
85.1,1.702220069,-0.528878407,-1.702883199,-0.996664354,-0.629060058,-0.017471957,-0.455326042,0.168437789
87.9,1.702220069,-0.528878407,0.047403601,0.500953007,-0.692441695,-0.597861208,-0.478010605,-0.107926899
62.4,-0.781564079,0.642070096,1.688297476,-0.996664354,-0.114860991,-1.007221339,-1.317641336,-1.12798043
62.8,-0.781564079,0.642070096,0.266189451,1.249761688,0.59580653,0.972839618,1.471087326,1.510711952
63,-0.781564079,0.642070096,-0.390168099,-0.247855673,-0.371183789,-1.009918894,-1.481687617,-1.707178262
63.5,-0.781564079,0.642070096,-0.463096716,1.249761688,1.909789317,-0.045338554,0.111307542,0.590176893
63.5,-0.781564079,0.642070096,0.703761151,0.126548667,-0.684060347,-0.017471957,-0.455326042,0.168437789
63.9,-0.781564079,0.642070096,0.959011309,-0.247855673,0.650852509,-0.062221911,-0.390503118,1.14088882
64.4,-0.781564079,0.642070096,-1.374704424,-0.247855673,-0.396246463,0.037880286,0.349805941,0.909215766
64.5,-0.781564079,0.642070096,0.229725143,-0.247855673,-0.132708653,-1.332848174,-1.658313138,-1.912458751
64.7,-0.781564079,0.642070096,-0.463096716,1.249761688,-0.621810525,0.949612912,1.095337407,0.868455047
65,-0.781564079,0.642070096,-2.650955216,0.126548667,-0.815476638,-1.152396856,-1.203947994,-1.104994356
65.2,-0.781564079,0.642070096,0.557903918,-0.247855673,-0.644594773,-0.334850361,-0.013152868,-0.119486665
82.3,1.702220069,0.642070096,0.849618384,-0.247855673,1.058527815,3.12078674,2.590966535,1.740358387
82.5,1.702220069,0.642070096,2.125869176,0.500953007,0.71296671,-0.682773747,-0.273291818,-0.679211612
82.6,1.702220069,0.642070096,-0.171382249,-0.247855673,2.203436311,0.037880286,0.349805941,0.909215766
83.1,1.702220069,0.642070096,-1.192382883,0.500953007,-0.35803903,0.506487853,1.575261476,0.91613002
83.2,1.702220069,0.642070096,-0.317239483,0.500953007,0.890900843,-1.216659815,-0.942614424,-1.224890553
84.3,1.702220069,0.642070096,-0.353703791,-0.247855673,-0.588651305,-1.34863154,-0.95090981,-0.93793065
80.7,1.702220069,1.032386263,1.031939926,-0.996664354,0.064185229,0.949612912,1.095337407,0.868455047
80.8,1.702220069,1.032386263,2.308190718,0.875357347,0.377441525,0.390965225,0.716052194,1.236077934
81.3,1.702220069,1.032386263,0.521439609,-0.247855673,-0.159290276,-0.017471957,-0.455326042,0.168437789
